NUMBER	NAME	ELEV	LAT	LON
284170	Pagan	570	18.13	145.8
222053	Paka	1697	0.92	36.18
358080	Pali-Aike Volcanic Field	282	-52.082	-69.698
357022	Palomo	4860	-34.608	-70.295
264150	Paluweh	875	-8.32	121.708
355042	Pampa Luxsar	5543	-20.85	-68.2
211041	Panarea	399	38.638	15.064
211071	Pantelleria	836	36.77	12.02
263100	Papandayan	2665	-7.32	107.73
341081	Papayo	3600	19.308	-98.7
355012	Parinacota	6336	-18.166	-69.142
263070	Patuha	2422	-7.162	107.4
312030	Pavlof	2493	55.417	-161.894
357066	Payun Matru	3715	-36.422	-69.241
360120	Pelee	1394	14.809	-61.165
263291	Penanggungan	1631	-7.616	112.62
390031	Penguin Island	180	-62.1	-57.93
263040	Perbakti-Gagak	1699	-6.75	106.7
261030	Peuet Sague	2785	4.903	96.289
382020	Pico	2351	38.47	-28.4
382081	Picos Volcanic System	350	37.78	-25.67
344080	"Pilas, Las"	1088	12.495	-86.688
341001	Pinacate	1200	31.772	-113.498
273083	Pinatubo	1486	15.13	120.35
357040	Planchon-Peteroa	3977	-35.223	-70.568
360110	"Plat Pays, Morne"	940	15.255	-61.341
345034	Platanar	2267	10.3	-84.366
390013	"Pleiades, The"	3040	-72.67	165.5
345040	Poas	2708	10.2	-84.233
273020	Pocdol Mountains	1102	13.05	123.958
300470	Pogranychny	1427	56.85	159.8
275080	Popa	1518	20.92	95.25
341090	Popocatepetl	5393	19.023	-98.622
214090	Porak	3029	40.028	45.74
234040	"Possession, Ile de la"	934	-46.42	51.75
371070	Prestahnukur	1385	64.583	-20.666
234060	Prince Edward Island	672	-46.63	37.95
390140	Protector Seamounts	-55	-55.912	-28.167
355107	Pular	6233	-24.188	-68.054
352011	Pululahua	3356	0.038	-78.463
357160	Puntiagudo-Cordon Cenizos	2493	-40.969	-72.264
351060	Purace	4650	2.32	-76.4
355094	Purico Complex	5703	-23	-67.75
357150	Puyehue-Cordon Caulle	2236	-40.59	-72.117
360140	Qualibou	777	13.83	-61.05
357121	Quetrupillan	2360	-39.496	-71.722
360020	"Quill, The"	601	17.478	-62.96
354000	Quimsachata	3693	-14.176	-71.351
252140	Rabaul	688	-4.271	152.203
231070	"Rahat, Harrat"	1744	23.08	39.78
321030	Rainier	4392	46.853	-121.76
264071	Ranakah	2350	-8.62	120.52
261251	Ranau	1854	-4.871	103.925
242030	Raoul Island	516	-29.27	-177.92
290220	Rasshua	956	47.77	153.02
263340	Raung	3260	-8.119	114.056
290020	Raususan [Mendeleev]	882	43.979	145.733
311280	Recheschnoi	1984	53.157	-168.539
358063	Reclus	1000	-50.964	-73.585
327812	Red Hill	2300	34.25	-108.83
241060	Reporoa	592	-38.42	176.33
352010	Reventador	3562	-0.077	-77.656
371020	Reykjanes	140	63.85	-22.566
345020	Rincon de la Vieja	1916	10.83	-85.324
264030	Rinjani	3726	-8.42	116.47
344060	Rota	832	12.55	-86.75
390021	Royal Society Range	3000	-78.25	163.33
241100	Ruapehu	2797	-39.28	175.57
290091	Rucharuyama [Golets-Tornyi Group]	442	45.25	148.35
351020	"Ruiz, Nevado del"	5279	4.892	-75.324
241130	Rumble III	-220	-35.745	178.478
222166	Rungwe	2953	-9.135	33.668
290021	Ruruidake [Smirnov]	1486	44.454	146.139
360010	Saba	887	17.63	-63.23
354006	Sabancaya	5960	-15.787	-71.857
355091	Sairecabur	5971	-22.72	-67.892
263050	Salak	2211	-6.72	106.73
323200	Salton Buttes	-40	33.197	-115.616
214050	Samsari Volcanic Center	3290	41.542	43.7
341007	San Borja Volcanic Field	1360	28.5	-113.75
344020	San Cristobal	1745	12.702	-87.004
353120	San Cristobal	759	-0.88	-89.5
343001	San Diego	781	14.27	-89.48
329020	San Francisco Volcanic Field	3850	35.347	-111.678
357020	San Jose	6070	-33.789	-69.895
341003	"San Luis, Isla"	180	29.97	-114.4
341110	San Martin	1650	18.57	-95.2
273060	San Pablo Volcanic Field	1090	14.12	121.3
357062	San Pedro-Pellado	3621	-35.989	-70.849
355070	San Pedro-San Pablo	6142	-21.888	-68.391
341002	San Quintin Volcanic Field	260	30.468	-115.996
343050	San Salvador	1893	13.734	-89.294
343070	San Vicente	2182	13.595	-88.837
283002	Sanbesan	1126	35.141	132.622
322040	Sand Mountain Field	1664	44.38	-121.93
352090	Sangay	5286	-2.005	-78.341
264050	Sangeang Api	1912	-8.2	119.07
264060	"Sano, Wai"	1319	-8.724	119.986
343020	Santa Ana	2381	13.853	-89.63
353091	Santa Cruz	864	-0.62	-90.33
351021	Santa Isabel	4944	4.818	-75.365
342030	Santa Maria	3745	14.757	-91.552
353090	Santiago	920	-0.22	-90.77
342150	"Santiago, Cerro"	1192	14.33	-89.87
212040	Santorini	367	36.404	25.396
261131	Sarik-Gajah	737	0.074	100.189
290240	Sarychev Peak	1496	48.092	153.2
290080	Sashiusudake [Baransky]	1125	45.1	148.019
390090	Saunders	843	-57.8	-26.483
244040	Savai'i	1858	-13.612	-172.525
255070	Savo	485	-9.13	159.82
231160	"Sawad, Harra Es-"	1737	13.58	46.12
390050	Seal Nunataks Group	368	-65.03	-60.05
311180	Seguam	1054	52.315	-172.51
261260	Sekincau Belirang	1717	-5.107	104.317
263300	Semeru	3657	-8.108	112.922
311060	Semisopochnoi	1221	51.93	179.58
341092	Serdan-Oriental	3485	19.27	-97.47
265070	Serua	608	-6.312	130.017
382080	Sete Cidades	856	37.87	-25.78
261020	Seulawah Agam	1810	5.448	95.658
300700	Severny	1936	58.28	160.87
323010	Shasta	4317	41.409	-122.193
300270	Sheveluch	3283	56.653	161.36
283121	Shiga	2041	36.688	138.519
285040	Shikotsu	1320	42.688	141.38
285090	Shiretoko-Iozan	1562	44.133	145.161
311360	Shishaldin	2857	54.756	-163.97
261110	Sibualbuali	1819	1.556	99.255
222052	Silali	1528	1.15	36.23
272040	Silay	1510	10.77	123.23
320160	Silverthrone	3160	51.43	-126.3
255050	Simbo	335	-8.292	156.52
261080	Sinabung	2460	3.17	98.392
261070	Singkut	2181	3.248	98.501
343002	"Singuil, Cerro"	926	14.054	-89.631
390025	Siple	3110	-73.43	-126.67
264270	Sirung	862	-8.508	124.13
263180	Slamet	3428	-7.242	109.208
300660	Snezhniy	2169	58.02	160.8
341021	Socorro	1050	18.78	-110.95
326010	Soda Lakes	1251	39.53	-118.87
357111	Sollipulli	2282	-38.97	-71.52
266030	Soputan	1785	1.112	124.737
261120	Sorikmarapi	2145	0.686	99.539
360060	Soufriere Guadeloupe	1467	16.044	-61.664
360050	Soufriere Hills	915	16.72	-62.18
360150	Soufriere St. Vincent	1220	13.33	-61.18
390070	Southern Thule	1075	-59.442	-27.225
320070	Spectrum Range	2430	57.43	-130.68
313040	Spurr	3374	61.299	-152.251
250010	St. Andrew Strait	270	-2.38	147.35
360170	St. Catherine	840	12.15	-61.67
321050	St. Helens	2549	46.2	-122.18
314040	St. Michael	715	63.45	-162.12
314010	St. Paul Island	203	57.18	-170.3
211040	Stromboli	924	38.789	15.213
342160	Suchitan	2042	14.4	-89.78
252090	Sulu Range	610	-5.5	150.942
352040	Sumaco	3990	-0.538	-77.626
261180	Sumbing	2507	-2.414	101.728
263220	Sumbing	3371	-7.384	110.07
284080	Sumisujima	136	31.44	140.051
263210	Sundoro	3136	-7.3	109.992
257010	Suretamatai	921	-13.8	167.47
222110	Suswa	2356	-1.151	36.357
282030	Suwanosejima	796	29.638	129.714
273070	Taal	311	14.002	120.993
355011	Taapaca	5860	-18.1	-69.5
343072	Taburete	1172	13.435	-88.532
341130	Tacana	4064	15.132	-92.109
355010	Tacora	5980	-17.72	-69.77
243120	Tafu-Maka	-1400	-15.37	-174.23
342141	Tahual	1716	14.43	-89.9
221010	"Tair, Jebel at"	244	15.55	41.83
285060	Taisetsuzan	2291	43.664	142.854
283143	Takaharayama	1795	36.9	139.777
390027	Takahe	3460	-76.28	-112.08
263150	Talagabodas	2201	-7.208	108.07
261130	Talakmau	2919	0.079	99.98
261160	Talang	2575	-0.979	100.681
264040	Tambora	2850	-8.25	118
311080	Tanaga	1806	51.885	-178.146
261150	Tandikat-Singgalang	2854	-0.39	100.331
266130	Tangkoko-Duasudara	1334	1.518	125.185
263090	Tangkuban Parahu	2084	-6.77	107.6
290310	Tao-Rusyr Caldera	1325	49.35	154.7
268001	Tarakan	318	1.83	127.83
241030	Taranaki	2518	-39.3	174.07
303010	Taryatu-Chulutu	2326	48.133	99.95
281032	Tatun Volcanic Group	1120	25.178	121.553
244001	Ta'u	931	-14.23	-169.454
241070	Taupo	760	-38.82	176
245010	Taveuni	1241	-16.82	-179.97
343080	Tecapa	1593	13.494	-88.502
342120	Tecuamburro	1845	14.156	-90.407
344040	Telica	1036	12.606	-86.84
263231	Telomoyo	1864	-7.362	110.4
261050	"Telong, Bur ni"	2617	4.769	96.821
213030	Tenduruk Dagi	3514	39.356	43.874
383030	Tenerife	3715	28.271	-16.641
275110	Tengchong	2865	25.23	98.5
263310	Tengger Caldera	2329	-7.942	112.95
345031	Tenorio	1916	10.673	-85.015
221292	Tepi	2728	7.42	35.43
382050	Terceira	1023	38.73	-27.32
373090	Theistareykir	540	65.833	-17.166
322070	Three Sisters	3159	44.133	-121.767
268061	Tidore	1730	0.658	127.4
343082	"Tigre, El"	1640	13.47	-88.43
343130	"Tigre, Isla el"	783	13.272	-87.641
355105	Tilocalar	3109	-23.97	-68.13
256010	Tinakula	796	-10.386	165.804
372040	Tindfjallajokull	1464	63.783	-19.716
357030	Tinguiririca	4280	-34.814	-70.352
300560	Titila	1523	57.406	160.108
373100	Tjornes Fracture Zone	-75	66.309	-17.118
315060	Tlevak Strait-Suemez Is.	50	55.25	-133.3
261090	Toba	2157	2.58	98.83
268050	Todoko-Ranu	979	1.25	127.47
225001	Todra Volcanic Field	1780	17.68	8.5
243060	Tofua	515	-19.75	-175.07
225009	"Toh, Tarso"	2000	21.33	16.33
285050	Tokachidake	2077	43.418	142.686
300240	Tolbachik	3611	55.832	160.326
357093	Tolhuaca	2739	-38.31	-71.645
351030	"Tolima, Nevado del"	5215	4.658	-75.33
342070	Toliman	3158	14.612	-91.189
341070	"Toluca, Nevado de"	4680	19.108	-99.758
290010	Tomariyama [Golovnin]	535	43.844	145.504
224011	Tombel Graben	500	4.758	9.717
266070	Tondano Caldera	1202	1.23	124.83
390026	Toney Mountain	3595	-75.8	-115.83
241080	Tongariro	1978	-39.157	175.632
372050	Torfajokull	1280	63.892	-19.122
284011	Toshima	508	34.52	139.279
225010	"Tousside, Tarso"	3265	21.03	16.45
283271	Towada	1011	40.51	140.88
285030	Toya	733	42.544	140.839
257090	Traitor's Head	817	-18.754	169.238
357101	Tralihue	2448	-38.509	-70.898
312160	Trident	1864	58.236	-155.1
386010	Tristan da Cunha	2060	-37.092	-12.28
360100	"Trois Pitons, Morne"	1387	15.37	-61.33
357081	Trolon	2360	-37.738	-70.906
357072	Tromen	4114	-37.144	-70.033
358011	Tronador	3478	-41.157	-71.885
221250	Tullu Moje	2343	8.159	39.137
373040	Tungnafellsjokull	1523	64.75	-17.916
302050	Tunkin Depression	1200	51.5	102.5
357010	Tupungatito	5660	-33.425	-69.797
345070	Turrialba	3340	10.025	-83.767
244020	Tutuila	653	-14.295	-170.7
354040	Tutupaca	5801	-17.026	-70.372
320031	Tuya Volcanic Field	2123	59.37	-130.58
355150	Tuzgle	5486	-24.05	-66.48
300540	Tuzovsky	1516	57.32	159.967
323160	Ubehebe Craters	752	37.02	-117.45
300241	Udina	2886	55.758	160.527
302030	Udokan Plateau	2180	56.28	117.77
312130	Ugashik-Peulik	1474	57.751	-156.368
329010	Uinkaret Field	1555	36.38	-113.13
312131	Ukinrek Maars	91	57.832	-156.51
300350	Uksichan	1692	56.08	158.38
306030	Ulreung	984	37.5	130.87
251060	Umboi	1548	-5.589	147.875
263230	Ungaran	2050	-7.18	110.33
282100	Unzendake	1483	32.761	130.299
244030	Upolu	1100	-13.935	-171.72
290191	Uratman	678	47.12	152.25
300261	Ushkovsky	3943	56.113	160.509
343081	Usulutan	1449	13.419	-88.471
343160	Utila Island	74	16.12	-86.882
231020	"Uwayrid, Harrat"	1920	27.08	37.25
300170	Uzon	1617	54.5	159.97
244000	Vailulu'u	-592	-14.215	-169.058
214080	Vaiyots-Sar	2575	39.797	45.497
233015	Vakinankaratra	2644	-19.85	46.942
346030	"Valle, El"	1185	8.58	-80.17
290370	Vernadskii Ridge	1183	50.55	155.97
372010	Vestmannaeyjar	283	63.416	-20.266
211020	Vesuvius	1281	40.821	14.426
253030	Victory	1925	-9.2	149.07
357120	Villarrica	2847	-39.42	-71.93
300083	Vilyuchik	2173	52.7	158.28
223050	Visoke	3696	-1.458	29.485
300059	Visokiy	1234	52.43	157.93
302040	Vitim Volcanic Field	1250	53.75	113.25
225020	"Voon, Tarso"	3100	20.92	17.28
300720	Voyampolsky	1103	58.374	160.631
211050	Vulcano	500	38.404	14.962
211003	Vulsini	800	42.6	11.93
300221	Vysoky	2129	55.064	160.765
390024	Waesche	3292	-77.17	-126.88
244050	Wallis Islands	143	-13.3	-176.17
324030	Wapi Lava Field	1604	42.88	-113.22
283071	Washiba-Kumonotaira	2924	36.408	137.594
360101	"Watt, Morne"	1224	15.307	-61.305
320150	Wells Gray-Clearwater	2576	52.33	-120.57
321060	West Crater	1329	45.88	-122.08
210010	West Eifel Volcanic Field	600	50.17	6.85
243130	West Mata	-1174	-15.1	-173.75
311340	Westdahl	1563	54.516	-164.65
241040	Whakaari/White Island	294	-37.52	177.18
241011	Whangarei	397	-35.75	174.27
263270	Wilis	2563	-7.808	111.758
252080	Witori	724	-5.576	150.516
315020	Wrangell	4278	62.006	-144.017
305030	Wudalianchi	597	48.72	126.12
283070	Yakedake	2455	36.227	137.587
231080	"Yar, Jabal"	305	17.05	42.83
257100	Yasur	361	-19.532	169.447
300021	Yavinsky	646	51.533	156.629
325010	Yellowstone	2805	44.43	-110.67
343150	"Yojoa, Lake"	1090	14.98	-87.98
282021	Yokoate-jima	495	28.797	128.997
283031	Yokodake	2480	36.087	138.32
282081	Yonemaru-Sumiyoshiike	40	31.771	130.592
285032	Yoteizan	1888	42.827	140.812
354050	Yucamane	5495	-17.184	-70.196
282130	Yufu-Tsurumi	1584	33.282	131.39
311210	Yunaska	550	52.643	-170.629
343140	"Zacate Grande, Isla"	640	13.33	-87.63
283190	Zaozan [Zaosan]	1841	38.144	140.44
300480	Zaozerny	1349	56.88	159.95
344111	Zapatera	629	11.73	-85.82
300124	Zavaritsky	1567	53.905	158.385
390130	Zavodovski	551	-56.3	-27.57
300242	Zimina	3057	55.862	160.603
341061	Zitacuaro-Valle de Bravo	3500	19.4	-100.25
221020	Zubair Group	191	15.05	42.18
221021	Zukur	624	14.02	42.75
327120	Zuni-Bandera	2550	34.8	-108
