NUMBER	NAME	ELEV	LAT	LON
357112	Caburgua-Huelemolle	1652	-39.25	-71.75
273090	Cagua	1133	18.222	122.123
357042	Calabozos	3508	-35.558	-70.496
210040	Calatrava Volcanic Field	1117	38.87	-4.02
358020	Calbuco	1974	-41.33	-72.618
357091	Callaqui	3164	-37.92	-71.45
224010	Cameroon	4095	4.203	9.17
271080	Camiguin	1552	9.203	124.673
274010	Camiguin de Babuyanes	712	18.83	121.86
211010	Campi Flegrei	458	40.827	14.139
211070	Campi Flegrei del Mar di Sicilia	-8	37.1	12.7
390100	Candlemas Island	550	-57.08	-26.67
357140	Carran-Los Venados	1114	-40.35	-72.07
327110	Carrizozo	1731	33.78	-105.93
352006	Cayambe	5790	0.029	-77.986
320811	Cayley Volcanic Field	2375	50.12	-123.28
358012	Cayutue-La Vigueria	506	-41.25	-72.27
341030	Ceboruco	2280	21.125	-104.508
222010	Central Island	518	3.496	36.04
263170	Cereme	3039	-6.895	108.408
352022	Chacana	4643	-0.375	-78.25
290030	Chachadake [Tiatia]	1822	44.353	146.252
354007	"Chachani, Nevado"	6057	-16.191	-71.53
352002	Chachimbiro	4106	0.468	-78.287
210020	Chaine des Puys	1464	45.775	2.97
305060	Changbaishan	2744	41.98	128.08
300273	Cherpuk Group	1868	55.55	157.47
341080	Chichinautzin	3930	19.08	-99.13
341120	"Chichon, El"	1150	17.36	-93.228
312110	Chiginagak	2221	57.135	-156.99
290360	Chikurachki	1781	50.324	155.461
351110	Chiles-Cerro Negro	4698	0.817	-77.938
357070	"Chillan, Nevados de"	3180	-36.868	-71.378
343090	Chinameca	1300	13.478	-88.33
342170	Chingo	1775	14.12	-89.73
342200	Chiquimula Volcanic Field	1192	14.83	-89.55
290090	Chirippusan [Chirip]	1587	45.338	147.92
290150	Chirpoi	742	46.532	150.871
283220	Chokaisan	2236	39.099	140.049
306020	Ch'uga-ryong	452	38.33	127.33
222130	Chyulu Hills	2188	-2.68	37.88
322150	Cinnamon Butte	1956	43.241	-122.108
323100	Clear Lake	1439	38.97	-122.77
331030	Cleft Segment	-2140	44.83	-130.3
343041	Coatepeque Caldera	746	13.87	-89.55
331020	CoAxial Segment	-2400	46.52	-129.58
234050	"Cochons, Ile aux"	775	-46.1	50.23
341096	Cofre de Perote	4282	19.492	-97.15
341040	Colima	3850	19.514	-103.62
